U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Ustack (V);I (A);J (A/cm²)
0.721;0.717;0.717;0.718;0.713;3.543;52.186;0.52186
0.721;0.717;0.717;0.718;0.713;3.543;52.186;0.52186
0.721;0.717;0.717;0.718;0.714;3.543;52.186;0.52186
0.721;0.717;0.717;0.719;0.714;3.543;52.176;0.52176
0.721;0.717;0.717;0.719;0.714;3.543;52.137;0.52137
0.721;0.718;0.717;0.719;0.714;3.544;52.117;0.52117
0.721;0.717;0.717;0.719;0.714;3.544;52.088;0.52088
0.721;0.718;0.717;0.719;0.714;3.544;52.078;0.52078
0.721;0.718;0.718;0.719;0.714;3.545;52.034;0.52034
0.721;0.718;0.717;0.719;0.714;3.545;52.015;0.52015
0.721;0.718;0.718;0.719;0.714;3.545;52.015;0.52015
0.721;0.718;0.718;0.719;0.714;3.545;51.99;0.5199
0.721;0.718;0.717;0.719;0.714;3.546;51.976;0.51976
0.721;0.718;0.717;0.719;0.714;3.547;51.956;0.51956
0.721;0.718;0.718;0.719;0.714;3.546;51.946;0.51946
0.721;0.718;0.718;0.719;0.714;3.548;51.917;0.51917
0.721;0.718;0.718;0.719;0.714;3.548;51.888;0.51888
0.722;0.718;0.718;0.719;0.714;3.548;51.873;0.51873
0.722;0.718;0.718;0.719;0.714;3.548;51.834;0.51834
0.722;0.718;0.718;0.719;0.714;3.548;51.829;0.51829
0.722;0.718;0.718;0.719;0.714;3.548;51.819;0.51819
0.722;0.718;0.718;0.72;0.714;3.549;51.79;0.5179
0.722;0.718;0.718;0.719;0.715;3.548;51.775;0.51775
0.722;0.718;0.718;0.72;0.715;3.548;51.727;0.51727
0.722;0.718;0.718;0.72;0.714;3.549;51.717;0.51717
0.722;0.718;0.719;0.72;0.715;3.549;51.707;0.51707
0.722;0.718;0.719;0.72;0.715;3.549;51.692;0.51692
0.722;0.718;0.719;0.72;0.715;3.549;51.683;0.51683
0.722;0.718;0.719;0.72;0.715;3.549;51.629;0.51629
0.722;0.718;0.719;0.72;0.715;3.548;51.624;0.51624
0.722;0.718;0.719;0.72;0.715;3.549;51.609;0.51609
0.722;0.718;0.719;0.72;0.715;3.549;51.585;0.51585
0.722;0.718;0.719;0.72;0.715;3.549;51.585;0.51585
0.722;0.718;0.719;0.72;0.715;3.55;51.536;0.51536
0.722;0.719;0.719;0.72;0.715;3.549;51.531;0.51531
0.722;0.719;0.719;0.72;0.715;3.55;51.526;0.51526
0.722;0.719;0.719;0.72;0.715;3.551;51.497;0.51497
0.722;0.719;0.719;0.72;0.715;3.551;51.478;0.51478
0.722;0.719;0.719;0.72;0.715;3.551;51.409;0.51409
0.722;0.719;0.719;0.72;0.715;3.552;51.414;0.51414
0.722;0.719;0.719;0.72;0.715;3.553;51.399;0.51399
0.722;0.719;0.72;0.72;0.715;3.553;51.39;0.5139
0.722;0.719;0.72;0.72;0.715;3.554;51.404;0.51404
0.722;0.719;0.72;0.72;0.715;3.553;51.385;0.51385
0.722;0.719;0.72;0.721;0.715;3.553;51.351;0.51351
0.722;0.719;0.72;0.721;0.715;3.554;51.321;0.51321
0.722;0.719;0.72;0.721;0.715;3.554;51.302;0.51302
0.723;0.719;0.72;0.721;0.715;3.554;51.297;0.51297
0.723;0.719;0.72;0.721;0.715;3.554;51.277;0.51277
0.723;0.719;0.72;0.721;0.715;3.554;51.224;0.51224
0.723;0.719;0.72;0.721;0.716;3.554;51.204;0.51204
0.723;0.719;0.72;0.721;0.716;3.554;51.199;0.51199
0.723;0.719;0.72;0.721;0.716;3.554;51.18;0.5118
0.723;0.719;0.72;0.721;0.716;3.555;51.131;0.51131
0.723;0.719;0.72;0.721;0.716;3.555;51.126;0.51126
0.723;0.719;0.72;0.721;0.716;3.554;51.101;0.51101
0.723;0.719;0.72;0.721;0.716;3.556;51.062;0.51062
0.723;0.719;0.72;0.721;0.716;3.555;51.023;0.51023
0.723;0.719;0.72;0.721;0.716;3.555;51.028;0.51028
0.723;0.719;0.72;0.721;0.716;3.555;51.028;0.51028
0.723;0.719;0.72;0.721;0.716;3.554;51.018;0.51018
0.723;0.719;0.72;0.721;0.716;3.556;50.97;0.5097
0.723;0.72;0.72;0.721;0.716;3.557;50.926;0.50926
0.723;0.72;0.72;0.721;0.716;3.556;50.921;0.50921
0.723;0.72;0.72;0.721;0.716;3.557;50.921;0.50921
0.723;0.72;0.72;0.721;0.716;3.556;50.916;0.50916
0.723;0.72;0.72;0.721;0.716;3.556;50.906;0.50906
0.723;0.72;0.72;0.721;0.716;3.558;50.872;0.50872
0.723;0.72;0.72;0.722;0.716;3.558;50.843;0.50843
0.723;0.72;0.721;0.722;0.716;3.558;50.823;0.50823
0.723;0.72;0.721;0.722;0.716;3.559;50.808;0.50808
0.723;0.72;0.721;0.721;0.716;3.559;50.784;0.50784
0.723;0.72;0.721;0.722;0.716;3.56;50.74;0.5074
0.723;0.72;0.721;0.721;0.716;3.559;50.73;0.5073
0.723;0.72;0.72;0.722;0.716;3.559;50.735;0.50735
0.723;0.72;0.72;0.721;0.716;3.56;50.73;0.5073
0.723;0.72;0.721;0.722;0.717;3.559;50.677;0.50677
0.723;0.72;0.721;0.722;0.716;3.559;50.633;0.50633
0.723;0.72;0.721;0.722;0.716;3.559;50.637;0.50637
0.723;0.72;0.721;0.722;0.716;3.56;50.628;0.50628
0.723;0.72;0.721;0.722;0.717;3.56;50.618;0.50618
0.724;0.72;0.721;0.722;0.717;3.56;50.608;0.50608
0.724;0.72;0.721;0.722;0.717;3.56;50.564;0.50564
0.724;0.72;0.721;0.722;0.717;3.56;50.53;0.5053
0.724;0.72;0.721;0.722;0.717;3.56;50.525;0.50525
0.724;0.72;0.721;0.722;0.717;3.56;50.525;0.50525
0.724;0.721;0.721;0.722;0.717;3.561;50.476;0.50476
0.724;0.721;0.721;0.722;0.717;3.562;50.427;0.50427
0.724;0.721;0.721;0.722;0.717;3.561;50.432;0.50432
0.724;0.721;0.721;0.722;0.717;3.561;50.427;0.50427
0.724;0.721;0.721;0.722;0.717;3.561;50.418;0.50418
0.724;0.721;0.721;0.722;0.717;3.562;50.418;0.50418
0.724;0.721;0.721;0.722;0.717;3.563;50.384;0.50384
0.724;0.721;0.721;0.722;0.717;3.565;50.349;0.50349
0.725;0.721;0.721;0.722;0.717;3.564;50.33;0.5033
0.724;0.721;0.721;0.722;0.717;3.565;50.315;0.50315
0.724;0.721;0.721;0.722;0.717;3.564;50.33;0.5033
0.724;0.721;0.722;0.722;0.717;3.565;50.32;0.5032
0.724;0.721;0.722;0.723;0.717;3.565;50.276;0.50276
0.724;0.721;0.721;0.723;0.717;3.564;50.257;0.50257
0.724;0.721;0.722;0.722;0.717;3.564;50.242;0.50242
0.725;0.722;0.722;0.722;0.718;3.565;50.222;0.50222
0.725;0.721;0.722;0.723;0.718;3.565;50.169;0.50169
0.725;0.722;0.722;0.723;0.718;3.565;50.169;0.50169
0.724;0.722;0.722;0.723;0.718;3.566;50.144;0.50144
0.725;0.722;0.722;0.723;0.718;3.565;50.134;0.50134
0.725;0.722;0.722;0.723;0.718;3.566;50.12;0.5012
0.725;0.722;0.722;0.723;0.718;3.566;50.095;0.50095
0.725;0.722;0.722;0.723;0.718;3.566;50.061;0.50061
0.725;0.722;0.722;0.723;0.718;3.567;50.032;0.50032
0.725;0.722;0.722;0.723;0.718;3.567;50.032;0.50032
0.725;0.722;0.722;0.723;0.718;3.567;50.037;0.50037
0.725;0.722;0.722;0.723;0.718;3.567;50.017;0.50017
0.725;0.722;0.722;0.723;0.718;3.569;49.968;0.49968
0.725;0.722;0.722;0.723;0.718;3.568;49.929;0.49929
0.725;0.722;0.722;0.723;0.718;3.57;49.939;0.49939
0.725;0.722;0.722;0.723;0.718;3.569;49.939;0.49939
0.725;0.722;0.722;0.723;0.719;3.569;49.92;0.4992
0.725;0.722;0.722;0.723;0.719;3.57;49.88;0.4988
0.726;0.722;0.722;0.723;0.719;3.57;49.846;0.49846
0.726;0.722;0.723;0.723;0.719;3.57;49.841;0.49841
0.726;0.723;0.723;0.724;0.719;3.571;49.822;0.49822
0.726;0.722;0.723;0.724;0.719;3.571;49.763;0.49763
0.726;0.723;0.723;0.724;0.719;3.57;49.758;0.49758
0.726;0.723;0.723;0.724;0.719;3.571;49.744;0.49744
0.726;0.723;0.723;0.724;0.719;3.571;49.739;0.49739
0.726;0.723;0.723;0.724;0.719;3.571;49.729;0.49729
0.726;0.723;0.723;0.724;0.719;3.57;49.724;0.49724
0.726;0.723;0.723;0.724;0.719;3.571;49.666;0.49666
0.726;0.723;0.723;0.724;0.719;3.57;49.661;0.49661
0.726;0.723;0.723;0.724;0.719;3.571;49.641;0.49641
0.726;0.723;0.723;0.724;0.719;3.572;49.622;0.49622
0.726;0.723;0.723;0.724;0.719;3.573;49.563;0.49563
0.726;0.723;0.723;0.724;0.72;3.573;49.553;0.49553
0.726;0.723;0.723;0.724;0.719;3.572;49.548;0.49548
0.726;0.723;0.723;0.724;0.72;3.573;49.539;0.49539
0.726;0.723;0.723;0.724;0.72;3.573;49.529;0.49529
0.726;0.723;0.723;0.724;0.72;3.572;49.514;0.49514
0.726;0.723;0.723;0.724;0.72;3.573;49.465;0.49465
0.726;0.723;0.723;0.724;0.72;3.575;49.441;0.49441
0.726;0.723;0.723;0.725;0.72;3.574;49.441;0.49441
0.726;0.723;0.723;0.725;0.72;3.575;49.426;0.49426
0.726;0.723;0.723;0.725;0.72;3.575;49.426;0.49426
0.726;0.723;0.723;0.725;0.72;3.576;49.373;0.49373
0.726;0.723;0.724;0.725;0.72;3.575;49.348;0.49348
0.726;0.723;0.723;0.725;0.72;3.576;49.343;0.49343
0.727;0.723;0.724;0.725;0.72;3.576;49.329;0.49329
0.726;0.724;0.724;0.725;0.72;3.576;49.28;0.4928
0.727;0.724;0.724;0.726;0.72;3.577;49.275;0.49275
0.726;0.723;0.724;0.725;0.72;3.576;49.265;0.49265
0.727;0.724;0.724;0.725;0.72;3.576;49.246;0.49246
0.727;0.724;0.724;0.725;0.72;3.577;49.216;0.49216
0.727;0.724;0.724;0.726;0.72;3.577;49.182;0.49182
0.727;0.724;0.724;0.726;0.72;3.578;49.167;0.49167
0.727;0.724;0.724;0.726;0.72;3.578;49.133;0.49133
0.727;0.724;0.724;0.726;0.72;3.577;49.153;0.49153
0.727;0.724;0.724;0.726;0.721;3.578;49.123;0.49123
0.727;0.724;0.724;0.726;0.721;3.579;49.065;0.49065
0.727;0.724;0.724;0.726;0.721;3.579;49.075;0.49075
0.727;0.724;0.725;0.726;0.721;3.58;49.026;0.49026
0.727;0.724;0.725;0.726;0.721;3.58;49.021;0.49021
0.727;0.724;0.725;0.726;0.721;3.581;48.977;0.48977
0.727;0.724;0.725;0.726;0.721;3.581;48.972;0.48972
0.727;0.724;0.725;0.726;0.721;3.581;48.957;0.48957
0.727;0.724;0.725;0.726;0.721;3.581;48.933;0.48933
0.727;0.724;0.725;0.726;0.721;3.581;48.918;0.48918
0.727;0.724;0.726;0.726;0.721;3.581;48.865;0.48865
0.727;0.724;0.726;0.726;0.721;3.582;48.874;0.48874
0.727;0.724;0.726;0.726;0.721;3.581;48.865;0.48865
0.727;0.724;0.726;0.726;0.721;3.581;48.845;0.48845
0.727;0.724;0.726;0.726;0.721;3.581;48.835;0.48835
0.727;0.724;0.726;0.726;0.721;3.581;48.811;0.48811
0.727;0.724;0.726;0.726;0.721;3.582;48.772;0.48772
0.727;0.724;0.726;0.726;0.721;3.582;48.767;0.48767
0.727;0.724;0.726;0.726;0.721;3.582;48.728;0.48728
0.727;0.724;0.726;0.726;0.721;3.582;48.747;0.48747
0.727;0.724;0.726;0.726;0.721;3.581;48.699;0.48699
0.728;0.724;0.726;0.726;0.721;3.582;48.674;0.48674
0.727;0.724;0.726;0.727;0.721;3.583;48.669;0.48669
0.728;0.724;0.726;0.727;0.722;3.583;48.655;0.48655
0.728;0.725;0.726;0.727;0.721;3.583;48.616;0.48616
0.728;0.725;0.726;0.727;0.721;3.585;48.576;0.48576
0.728;0.725;0.726;0.727;0.722;3.585;48.581;0.48581
0.728;0.725;0.726;0.727;0.721;3.586;48.567;0.48567
0.728;0.725;0.726;0.727;0.722;3.583;48.567;0.48567
0.728;0.725;0.726;0.727;0.722;3.586;48.523;0.48523
0.728;0.725;0.726;0.727;0.722;3.586;48.474;0.48474
0.728;0.725;0.726;0.727;0.722;3.585;48.479;0.48479
0.728;0.725;0.726;0.727;0.722;3.587;48.469;0.48469
0.728;0.725;0.726;0.727;0.722;3.586;48.445;0.48445
0.728;0.725;0.726;0.727;0.722;3.587;48.405;0.48405
0.728;0.725;0.727;0.727;0.722;3.587;48.386;0.48386
0.728;0.725;0.726;0.727;0.722;3.586;48.376;0.48376
0.728;0.725;0.726;0.727;0.722;3.587;48.376;0.48376
0.728;0.725;0.726;0.727;0.722;3.587;48.332;0.48332
0.728;0.725;0.727;0.727;0.722;3.587;48.293;0.48293
0.728;0.725;0.727;0.727;0.722;3.587;48.283;0.48283
0.728;0.725;0.727;0.727;0.722;3.587;48.283;0.48283
0.728;0.725;0.727;0.727;0.722;3.587;48.274;0.48274
0.728;0.725;0.727;0.727;0.722;3.587;48.274;0.48274
0.728;0.725;0.727;0.727;0.722;3.588;48.244;0.48244
0.728;0.725;0.727;0.728;0.722;3.587;48.215;0.48215
0.728;0.725;0.727;0.728;0.722;3.59;48.171;0.48171
0.728;0.725;0.727;0.728;0.722;3.589;48.186;0.48186
0.729;0.725;0.727;0.728;0.722;3.59;48.142;0.48142
0.728;0.725;0.727;0.728;0.723;3.589;48.137;0.48137
0.728;0.725;0.727;0.728;0.722;3.589;48.117;0.48117
0.728;0.725;0.727;0.728;0.722;3.589;48.088;0.48088
0.729;0.726;0.727;0.728;0.723;3.59;48.069;0.48069
0.729;0.726;0.727;0.728;0.723;3.589;48.039;0.48039
0.729;0.726;0.727;0.728;0.723;3.59;48.02;0.4802
0.729;0.725;0.727;0.728;0.723;3.591;47.985;0.47985
0.729;0.726;0.727;0.728;0.723;3.591;47.985;0.47985
0.729;0.726;0.727;0.728;0.723;3.59;47.971;0.47971
0.729;0.726;0.727;0.728;0.723;3.591;47.932;0.47932
0.729;0.726;0.727;0.728;0.723;3.592;47.927;0.47927
0.729;0.726;0.727;0.728;0.723;3.592;47.902;0.47902
0.729;0.726;0.727;0.728;0.723;3.592;47.888;0.47888
0.729;0.726;0.727;0.728;0.723;3.592;47.863;0.47863
0.729;0.726;0.727;0.728;0.723;3.592;47.834;0.47834
0.729;0.726;0.727;0.728;0.723;3.592;47.79;0.4779
0.729;0.726;0.728;0.728;0.723;3.592;47.78;0.4778
0.729;0.726;0.728;0.728;0.723;3.592;47.79;0.4779
0.729;0.726;0.728;0.728;0.723;3.592;47.775;0.47775
0.729;0.726;0.728;0.728;0.723;3.593;47.727;0.47727
0.729;0.727;0.728;0.728;0.723;3.592;47.722;0.47722
0.729;0.726;0.728;0.729;0.723;3.593;47.692;0.47692
0.729;0.727;0.728;0.728;0.723;3.593;47.692;0.47692
0.729;0.727;0.728;0.728;0.723;3.594;47.663;0.47663
0.729;0.727;0.728;0.729;0.723;3.595;47.629;0.47629
0.73;0.727;0.728;0.729;0.724;3.593;47.624;0.47624
0.73;0.727;0.728;0.729;0.724;3.595;47.595;0.47595
0.73;0.727;0.728;0.729;0.723;3.595;47.595;0.47595
0.73;0.727;0.728;0.728;0.723;3.596;47.57;0.4757
0.73;0.727;0.728;0.729;0.724;3.596;47.507;0.47507
0.73;0.727;0.728;0.729;0.724;3.596;47.517;0.47517
0.73;0.727;0.728;0.729;0.724;3.596;47.492;0.47492
0.73;0.727;0.728;0.729;0.724;3.597;47.492;0.47492
0.73;0.727;0.728;0.729;0.724;3.596;47.473;0.47473
0.73;0.727;0.728;0.729;0.724;3.596;47.429;0.47429
0.73;0.727;0.728;0.729;0.724;3.597;47.414;0.47414
0.73;0.727;0.728;0.729;0.724;3.596;47.419;0.47419
0.73;0.727;0.728;0.729;0.724;3.597;47.38;0.4738
0.73;0.727;0.728;0.729;0.725;3.597;47.331;0.47331
0.73;0.727;0.729;0.729;0.724;3.598;47.331;0.47331
0.73;0.727;0.729;0.729;0.724;3.598;47.321;0.47321
0.73;0.727;0.728;0.729;0.724;3.597;47.302;0.47302
0.731;0.727;0.728;0.729;0.725;3.598;47.307;0.47307
0.731;0.727;0.729;0.729;0.725;3.598;47.272;0.47272
0.731;0.728;0.729;0.729;0.725;3.598;47.233;0.47233
0.731;0.727;0.729;0.729;0.725;3.598;47.219;0.47219
0.731;0.728;0.729;0.729;0.725;3.598;47.204;0.47204
0.731;0.728;0.729;0.729;0.725;3.599;47.194;0.47194
0.731;0.728;0.729;0.73;0.725;3.599;47.165;0.47165
0.731;0.728;0.729;0.73;0.725;3.6;47.116;0.47116
0.731;0.728;0.729;0.73;0.725;3.602;47.092;0.47092
0.731;0.728;0.729;0.73;0.725;3.6;47.097;0.47097
0.731;0.728;0.729;0.73;0.725;3.601;47.101;0.47101
0.731;0.728;0.729;0.73;0.725;3.603;47.062;0.47062
0.731;0.728;0.729;0.73;0.725;3.603;47.018;0.47018
0.731;0.728;0.729;0.73;0.725;3.603;47.014;0.47014
0.731;0.728;0.73;0.73;0.725;3.603;46.999;0.46999
0.731;0.728;0.729;0.73;0.725;3.603;46.984;0.46984
0.731;0.729;0.729;0.73;0.725;3.602;46.96;0.4696
0.731;0.729;0.73;0.73;0.725;3.603;46.916;0.46916
0.731;0.728;0.729;0.73;0.725;3.603;46.916;0.46916
0.731;0.728;0.729;0.73;0.725;3.603;46.921;0.46921
0.731;0.729;0.73;0.73;0.726;3.603;46.867;0.46867
0.731;0.729;0.73;0.73;0.726;3.603;46.828;0.46828
0.731;0.729;0.73;0.73;0.725;3.603;46.818;0.46818
0.731;0.729;0.73;0.73;0.726;3.603;46.813;0.46813
0.731;0.729;0.73;0.73;0.726;3.603;46.774;0.46774
0.731;0.729;0.73;0.73;0.726;3.603;46.794;0.46794
0.732;0.729;0.73;0.73;0.726;3.603;46.769;0.46769
0.731;0.729;0.73;0.73;0.726;3.603;46.725;0.46725
0.732;0.729;0.73;0.73;0.726;3.604;46.711;0.46711
0.732;0.729;0.73;0.73;0.726;3.605;46.691;0.46691
0.731;0.729;0.73;0.73;0.726;3.604;46.667;0.46667
0.732;0.729;0.73;0.73;0.726;3.603;46.623;0.46623
0.732;0.729;0.73;0.731;0.726;3.605;46.613;0.46613
0.732;0.729;0.73;0.731;0.726;3.606;46.594;0.46594
0.732;0.729;0.73;0.73;0.726;3.607;46.584;0.46584
0.733;0.729;0.73;0.73;0.726;3.607;46.594;0.46594
0.733;0.729;0.73;0.73;0.726;3.607;46.564;0.46564
0.733;0.729;0.73;0.731;0.726;3.608;46.52;0.4652
0.733;0.729;0.73;0.731;0.726;3.607;46.515;0.46515
0.733;0.729;0.73;0.731;0.726;3.607;46.491;0.46491
0.733;0.729;0.73;0.731;0.726;3.608;46.476;0.46476
0.733;0.729;0.731;0.731;0.726;3.609;46.423;0.46423
0.733;0.729;0.73;0.731;0.726;3.608;46.423;0.46423
0.733;0.729;0.731;0.731;0.726;3.608;46.418;0.46418
0.733;0.73;0.731;0.731;0.726;3.608;46.393;0.46393
0.733;0.729;0.73;0.731;0.726;3.608;46.384;0.46384
0.733;0.729;0.731;0.731;0.726;3.608;46.349;0.46349
0.733;0.73;0.731;0.731;0.727;3.609;46.315;0.46315
0.733;0.73;0.731;0.732;0.727;3.609;46.31;0.4631
0.733;0.73;0.731;0.731;0.727;3.609;46.296;0.46296
0.733;0.73;0.731;0.732;0.726;3.608;46.296;0.46296
0.733;0.73;0.731;0.731;0.727;3.609;46.261;0.46261
0.734;0.73;0.731;0.732;0.727;3.609;46.227;0.46227
0.734;0.73;0.731;0.732;0.727;3.61;46.178;0.46178
0.734;0.73;0.731;0.732;0.727;3.611;46.174;0.46174
0.734;0.73;0.731;0.732;0.727;3.611;46.154;0.46154
0.734;0.73;0.731;0.732;0.727;3.612;46.13;0.4613
0.734;0.73;0.731;0.732;0.727;3.612;46.12;0.4612
0.734;0.73;0.731;0.732;0.727;3.613;46.091;0.46091
0.734;0.73;0.731;0.732;0.727;3.613;46.086;0.46086
0.734;0.73;0.731;0.732;0.727;3.613;46.071;0.46071
0.734;0.73;0.731;0.732;0.727;3.613;46.037;0.46037
0.734;0.73;0.731;0.732;0.727;3.613;46.032;0.46032
0.734;0.73;0.731;0.732;0.727;3.613;46.017;0.46017
0.734;0.73;0.731;0.732;0.727;3.613;45.988;0.45988
0.734;0.73;0.731;0.732;0.727;3.613;45.944;0.45944
0.734;0.73;0.731;0.732;0.727;3.613;45.934;0.45934
0.734;0.73;0.731;0.732;0.727;3.613;45.924;0.45924
0.734;0.73;0.732;0.732;0.727;3.614;45.861;0.45861
0.734;0.73;0.731;0.732;0.727;3.614;45.89;0.4589
0.734;0.73;0.731;0.732;0.727;3.614;45.88;0.4588
0.734;0.73;0.731;0.732;0.727;3.614;45.856;0.45856
0.734;0.731;0.732;0.732;0.728;3.614;45.822;0.45822
0.734;0.731;0.732;0.732;0.728;3.614;45.778;0.45778
0.734;0.731;0.732;0.732;0.728;3.614;45.773;0.45773
0.734;0.731;0.732;0.732;0.728;3.615;45.758;0.45758
0.734;0.731;0.732;0.733;0.728;3.616;45.729;0.45729
0.734;0.731;0.732;0.733;0.728;3.616;45.729;0.45729
0.734;0.731;0.732;0.733;0.728;3.617;45.675;0.45675
0.734;0.731;0.732;0.733;0.728;3.617;45.67;0.4567
0.734;0.731;0.732;0.733;0.728;3.618;45.622;0.45622
0.735;0.731;0.732;0.733;0.728;3.617;45.636;0.45636
0.735;0.731;0.732;0.733;0.728;3.617;45.627;0.45627
0.735;0.731;0.732;0.733;0.728;3.619;45.558;0.45558
0.735;0.731;0.732;0.733;0.728;3.618;45.548;0.45548
0.735;0.731;0.732;0.733;0.728;3.619;45.539;0.45539
0.735;0.731;0.732;0.733;0.728;3.619;45.534;0.45534
0.735;0.731;0.732;0.733;0.728;3.619;45.543;0.45543
0.735;0.731;0.732;0.733;0.728;3.618;45.524;0.45524
0.735;0.731;0.732;0.733;0.728;3.619;45.446;0.45446
0.735;0.731;0.732;0.733;0.728;3.619;45.431;0.45431
0.735;0.731;0.732;0.733;0.728;3.62;45.446;0.45446
0.735;0.731;0.732;0.733;0.728;3.619;45.431;0.45431
0.735;0.732;0.733;0.733;0.728;3.62;45.377;0.45377
0.735;0.731;0.732;0.733;0.728;3.619;45.368;0.45368
0.735;0.731;0.733;0.733;0.729;3.62;45.363;0.45363
0.735;0.732;0.733;0.733;0.729;3.62;45.348;0.45348
0.735;0.732;0.733;0.733;0.729;3.62;45.333;0.45333
0.735;0.732;0.732;0.733;0.729;3.619;45.329;0.45329
0.735;0.732;0.733;0.733;0.729;3.62;45.275;0.45275
0.736;0.731;0.733;0.733;0.729;3.619;45.255;0.45255
0.736;0.732;0.733;0.733;0.729;3.62;45.246;0.45246
0.736;0.732;0.733;0.734;0.729;3.621;45.207;0.45207
0.736;0.732;0.733;0.733;0.729;3.621;45.187;0.45187
0.735;0.732;0.733;0.733;0.729;3.621;45.177;0.45177
0.736;0.732;0.733;0.734;0.729;3.621;45.153;0.45153
0.736;0.732;0.733;0.734;0.729;3.623;45.143;0.45143
0.736;0.732;0.733;0.734;0.729;3.624;45.119;0.45119
0.736;0.732;0.733;0.734;0.729;3.624;45.075;0.45075
0.736;0.732;0.733;0.734;0.729;3.623;45.06;0.4506
0.736;0.732;0.733;0.734;0.729;3.624;45.06;0.4506
0.736;0.733;0.733;0.734;0.729;3.624;45.045;0.45045
0.736;0.732;0.733;0.734;0.729;3.624;45.055;0.45055
0.736;0.733;0.733;0.734;0.729;3.624;45.016;0.45016
0.736;0.733;0.733;0.734;0.729;3.624;44.972;0.44972
0.736;0.733;0.733;0.734;0.73;3.625;44.957;0.44957
0.736;0.733;0.733;0.734;0.73;3.624;44.938;0.44938
0.737;0.733;0.733;0.734;0.729;3.625;44.933;0.44933
0.737;0.733;0.733;0.734;0.73;3.624;44.909;0.44909
0.736;0.733;0.733;0.734;0.73;3.625;44.874;0.44874
0.737;0.733;0.734;0.734;0.73;3.625;44.865;0.44865
0.737;0.733;0.734;0.734;0.73;3.625;44.845;0.44845
0.737;0.733;0.734;0.734;0.73;3.625;44.826;0.44826
0.737;0.733;0.734;0.734;0.73;3.627;44.767;0.44767
0.737;0.733;0.734;0.734;0.73;3.627;44.762;0.44762
0.737;0.733;0.734;0.734;0.73;3.628;44.743;0.44743
0.737;0.733;0.734;0.734;0.73;3.627;44.728;0.44728
0.737;0.733;0.734;0.734;0.73;3.628;44.713;0.44713
0.737;0.733;0.734;0.735;0.73;3.629;44.669;0.44669
0.737;0.734;0.734;0.734;0.73;3.628;44.669;0.44669
0.737;0.734;0.734;0.735;0.731;3.628;44.645;0.44645
0.737;0.733;0.734;0.735;0.73;3.627;44.655;0.44655
0.737;0.733;0.734;0.735;0.73;3.629;44.62;0.4462
0.737;0.733;0.734;0.735;0.73;3.629;44.576;0.44576
0.737;0.734;0.734;0.735;0.731;3.629;44.567;0.44567
0.737;0.734;0.734;0.735;0.731;3.63;44.547;0.44547
0.737;0.734;0.734;0.735;0.731;3.63;44.547;0.44547
0.737;0.734;0.734;0.735;0.731;3.629;44.508;0.44508
0.737;0.734;0.735;0.735;0.731;3.63;44.474;0.44474
0.737;0.734;0.734;0.735;0.731;3.63;44.479;0.44479
0.738;0.734;0.735;0.735;0.731;3.63;44.459;0.44459
0.737;0.734;0.735;0.735;0.731;3.63;44.42;0.4442
0.738;0.734;0.734;0.735;0.731;3.63;44.381;0.44381
0.738;0.734;0.735;0.735;0.731;3.63;44.371;0.44371
0.738;0.734;0.735;0.735;0.731;3.63;44.371;0.44371
0.738;0.734;0.735;0.735;0.731;3.631;44.366;0.44366
0.738;0.734;0.735;0.735;0.731;3.631;44.313;0.44313
0.738;0.734;0.735;0.735;0.731;3.632;44.279;0.44279
0.738;0.734;0.735;0.735;0.731;3.632;44.274;0.44274
0.738;0.734;0.735;0.735;0.731;3.632;44.274;0.44274
0.738;0.734;0.735;0.735;0.731;3.633;44.274;0.44274
0.738;0.734;0.736;0.735;0.731;3.634;44.21;0.4421
0.738;0.734;0.736;0.736;0.731;3.635;44.181;0.44181
0.738;0.734;0.735;0.736;0.731;3.634;44.176;0.44176
0.738;0.734;0.735;0.735;0.731;3.634;44.176;0.44176
0.738;0.734;0.735;0.736;0.732;3.635;44.176;0.44176
0.738;0.734;0.736;0.736;0.732;3.635;44.176;0.44176
0.738;0.735;0.736;0.736;0.732;3.635;44.152;0.44152
0.738;0.735;0.736;0.736;0.732;3.635;44.103;0.44103
0.738;0.734;0.735;0.736;0.732;3.635;44.122;0.44122
0.738;0.735;0.736;0.736;0.732;3.635;44.103;0.44103
0.738;0.735;0.736;0.736;0.732;3.635;44.078;0.44078
0.738;0.735;0.736;0.736;0.732;3.635;44.054;0.44054
0.738;0.735;0.736;0.736;0.732;3.635;44.02;0.4402
0.738;0.735;0.736;0.736;0.732;3.635;44.005;0.44005
0.738;0.735;0.736;0.736;0.732;3.636;43.971;0.43971
0.738;0.735;0.736;0.736;0.732;3.635;43.971;0.43971
0.738;0.735;0.736;0.736;0.732;3.636;43.961;0.43961
0.738;0.735;0.736;0.736;0.732;3.636;43.912;0.43912
0.739;0.735;0.736;0.736;0.732;3.635;43.898;0.43898
0.739;0.735;0.736;0.737;0.732;3.636;43.888;0.43888
0.739;0.735;0.736;0.737;0.732;3.635;43.883;0.43883
0.739;0.735;0.736;0.737;0.732;3.637;43.859;0.43859
0.739;0.735;0.736;0.737;0.732;3.637;43.824;0.43824
0.739;0.735;0.736;0.737;0.732;3.637;43.805;0.43805
